"hora_id_ref","id_linha","sentido_linha","let_cod_linha","let_destino","let_origem","meta_qtde_onibus"
"00",34024,2,"8006-10","TERM. PIRITUBA","JD. DONÁRIA",1
"00",1073,1,"3795-10","METRÔ ITAQUERA","JD. SÃO CARLOS",1
"00",33664,2,"2007-10","CPTM ITAIM PAULISTA","CID. KEMEL II",1
"00",2187,1,"4014-10","TERM. VL. CARRÃO","JD. VL. CARRÃO",1
"00",34027,2,"8009-10","TERM. PIRITUBA","CID. D'ABRIL 3ª GLEBA",1
"00",1332,1,"7181-10","TERM. PRINC. ISABEL","CID. UNIVERSITÁRIA",1
"00",32820,2,"6001-10","TERM. STO. AMARO","TERM. CAPELINHA",1
"00",2192,1,"403A-10","TERM. PENHA","CPTM JOSÉ BONIFÁCIO",2
"00",2322,1,"N233-11","VL. SABRINA","METRÔ SANTANA",1
"00",33636,2,"178Y-10","METRÔ JD. SÃO PAULO","VL. AMÉLIA",1
"00",33539,2,"6418-10","BROOKLIN NOVO","REAL PQ.",1
"00",33230,2,"9501-10","LGO. DO PAISSANDÚ","TERM. CACHOEIRINHA",1
"00",33667,2,"2013-10","CACHOEIRINHA","COHAB ANTÁRTICA",1
"00",2439,1,"N840-11","STA. CECÍLIA","TERM. VL. MARIANA",1
"00",2292,1,"N136-11","MORRO DOCE","TERM. LAPA",1
"00",34834,2,"809J-10","METRÔ MORUMBI","JD. COLOMBO",1
"00",35167,2,"N634-11","JD. LUSO","TERM. STO. AMARO",1
"00",34026,2,"8008-10","TERM. PIRITUBA","STA. MÔNICA",2
"00",2422,1,"N741-11","VALO VELHO","TERM. CAPELINHA",1
"00",327,1,"4491-10","TERM. PQ. D. PEDRO II","VL. LIVIERO",1
"00",34254,2,"778J-41","METRÔ BARRA FUNDA","COHAB RAPOSO TAVARES",1
"00",2089,1,"9051-10","TERM. PINHEIROS","LAPA",1
"00",1988,1,"3728-41","PQ. NOVA SAVOY","METRÔ ARTUR ALVIM",1
"00",34050,2,"5131-10","PQ. D. PEDRO II","CID. ADEMAR",1
"00",34852,2,"7022-10","TERM. STO. AMARO","JD. CAIÇARA",2
"00",33696,2,"2715-10","METRÔ PATRIARCA","VL. SÍLVIA",1
"00",458,1,"9301-10","PÇA. DO CORREIO","TERM. CASA VERDE",1
"00",990,1,"312N-10","SÃO MIGUEL PAULISTA","TERM. CID. TIRADENTES",1
"00",32826,2,"6403-10","TERM. PQ. D. PEDRO II","TERM. JOÃO DIAS",1
"00",809,1,"9188-10","LAPA","CAPELA DA LAGOA ",1
"00",2230,1,"1015-10","CHÁC. MARIA TRINDADE","TERM. JD. BRITÂNIA",1
"00",35202,2,"N835-11","JD. JOÃO XXIII","TERM. PINHEIROS",1
